,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
4401579,199,404,520,0.0,0,1.003185,30074106.13,1.003185,1.003185,1.003185,157227.84,1.003539,136913.62,1.003375,-0.47028065,22272,404_520_199
4077910,130,375,290,4671683.59,-1,1.001547,107880337.78,,,1.001639,8927.34,1.001731,36474.8,1.001657,9.690523,20654,375_290_130
2632720,74,243,490,0.0,0,0.999506,14761593.81,0.999506,0.999506,0.99919,236228.37,0.999647,136796.4,0.999479,-7.1001053,13414,243_490_74
941471,80,88,210,1684058.0,-1,0.998879,5439591.22,,,0.998811,2499.34,0.99949,22509.36,0.998879,11.509657,4861,88_210_80
3256112,77,300,450,0.0,0,1.002632,37703503.52,1.002632,1.002632,1.002598,1771.5,1.002869,122266.62,1.002602,4.7302246,16545,300_450_77
1888444,130,175,430,437052.34,-1,0.99874,52178314.79,0.997613,0.998489,0.99874,113113.86,0.998865,30077.06,0.998838,-2.3198128,9668,175_430_130
1973209,40,183,330,0.0,0,1.004813,7885837.91,1.004813,1.004813,1.004813,1231.56,1.005253,35114.85,1.004827,1.6796589,10098,183_330_40
1974704,151,183,400,2275475.94,1,0.999011,113874751.55,1.000937,1.000167,0.998819,215623.59,0.999011,146457.24,0.998933,-1.4799833,10105,183_400_151
1200302,52,112,150,4617661.99,1,0.999424,3109318.05,,,0.999089,10614.14,0.999424,954.4,0.999396,4.8196316,6175,112_150_52
2672786,142,247,300,34855837.45,1,1.000733,277960619.23,1.050341,1.041435,1.000733,973871.72,1.001283,10568.4,1.001277,-0.46014786,13615,247_300_142
4250880,100,391,140,101495.95,1,1.00108,939002.95,,,0.999417,27495.75,1.00108,101786.16,0.999771,-8.509755,21519,391_140_100
4856745,165,446,180,529058.18,1,0.9999,3392921.09,,,0.999301,104859.3,0.9999,143187.99,0.999554,19.010305,24548,446_180_165
3068321,64,283,380,13315331.87,-1,0.981463,149738357.64,0.974415,0.974415,0.981269,31497.5,0.982593,90582.88,0.981611,8.510351,15603,283_380_64
3437597,162,317,170,109192.64,-1,0.998462,10216800.91,,,0.998462,297.07,0.998932,3566.52,0.998498,-12.620091,17452,317_170_162
5060246,66,464,460,781412.6,1,1.00193,4795688.08,1.050494,1.003773,1.001799,7612.0,1.002062,30075.3,1.001852,2.2494793,25566,464_460_66
5455,111,0,280,206927.23,-1,0.994183,1008782.41,,,0.994183,9720.36,0.994594,2419.0,0.994512,-15.159845,28,0_280_111
192826,88,18,150,3816114.88,1,0.999682,45727422.39,,,0.999518,25820.39,0.999609,549.42,0.999607,0.38027763,1005,18_150_88
862641,62,81,40,0.0,0,1.000674,1464248.17,,,0.999199,27369.99,1.000674,2713.9,1.000541,1.1003017,4459,81_40_62
4733594,14,435,80,2251613.38,1,0.999335,76254515.58,,,0.999201,3346.83,0.999442,9299.0,0.999265,1.180172,23933,435_80_14
82365,25,7,450,0.0,0,1.000325,21603271.77,1.000325,1.000325,1.000162,17745.12,1.000487,65086.56,1.000232,-3.0100346,430,7_450_25
4603282,102,423,160,94287.52,-1,1.001072,6206528.81,,,1.001072,26246.22,1.00144,39139.2,1.00122,1.2898445,23281,423_160_102
4076325,145,375,210,0.0,0,1.000116,2262622.06,,,0.999837,25158.89,1.000116,47029.0,0.999935,1.6200542,20646,375_210_145
4033670,90,371,280,0.0,0,1.000195,6411639.42,,,0.999851,15964.3,1.000609,3631.0,1.000468,1.1897087,20433,371_280_90
2038256,145,189,310,0.0,0,1.000582,5279543.91,1.000582,1.000582,1.000324,7730.0,1.000841,8932.77,1.000564,0.7402897,10426,189_310_145
3770613,33,347,330,154909.33,-1,0.99906,6646719.48,0.998421,0.998741,0.998953,9390.0,0.999273,2911.83,0.999197,-6.7198277,19118,347_330_33
339826,14,32,110,6387314.66,-1,0.999328,82926503.62,,,0.999237,665.67,0.999373,66576.0,0.999239,2.13027,1771,32_110_14
2744240,155,254,40,0.0,0,0.999812,1520439.33,,,0.999595,21150.8,1.000029,7452.0,0.999916,9.180307,13974,254_40_155
17165,174,1,340,2290931.56,-1,0.99411,50065512.0,0.965155,0.980004,0.993665,20745.2,0.995298,54964.6,0.994113,-55.379868,89,1_340_174
3175670,153,293,270,228981.44,1,0.998937,2554471.25,,,0.998327,31542.08,0.998937,74188.84,0.998509,-11.979938,16142,293_270_153
47571,182,4,280,261691.3,1,1.001899,4335845.11,,,1.001689,42887.6,1.001899,4761.0,1.001878,-6.2197447,248,4_280_182
839081,22,78,490,130003.78,-1,0.998464,26071691.11,0.998307,0.998307,0.998464,10896.2,0.998622,103720.32,0.998479,-2.4199486,4339,78_490_22
2096863,125,194,510,3375671.22,-1,1.000162,36144600.69,0.996369,0.99715,0.999828,7886.56,1.000943,2332.72,1.000689,-1.9198656,10721,194_510_125
1559083,154,145,210,343168.01,1,1.002443,10511505.26,,,1.001999,85495.16,1.002443,23776.74,1.002346,-3.8200617,7996,145_210_154
482681,31,45,350,594663.25,1,1.004088,1411869.07,1.044647,1.007055,1.003098,118779.96,1.004088,166561.5,1.00351,9.870529,2510,45_350_31
4854076,96,446,50,2722923.09,1,1.000955,10553668.24,,,1.000705,36805.95,1.000955,39338.92,1.000825,-3.5899878,24535,446_50_96
3609816,36,332,540,316153.85,1,0.997304,62309000.43,0.997439,0.997304,0.997034,77029.85,0.997169,1774.44,0.997166,-1.0597706,18314,332_540_36
1544259,104,144,10,4449559.68,1,1.000635,45854664.99,,,1.000201,18612.28,1.000635,14979.25,1.000442,1.8000603,7921,144_10_104
5096549,169,468,70,1629359.62,-1,0.99782,11051468.05,,,0.99752,4319.12,0.99857,665.18,0.99843,0.4196167,25747,468_70_169
4733529,149,435,70,445457.64,1,0.999624,10138346.55,,,0.999416,1346.17,0.999884,90043.2,0.999423,-5.0997734,23932,435_70_149
1964813,160,182,450,15674639.84,-1,0.99604,175770267.02,0.982914,0.984244,0.99604,17914.0,0.996156,36521.24,0.996078,0.269413,10055,182_450_160
42521,120,4,20,0.0,0,0.999958,3181563.27,,,0.999684,33169.44,0.999958,43656.0,0.999802,4.7898293,222,4_20_120
3889055,75,358,200,15686980.36,-1,0.999561,14874137.94,,,0.999561,48761.69,1.000071,15687.0,0.999947,-4.990101,19710,358_200_75
4944310,130,454,160,17056375.64,-1,0.9993,29441885.26,,,0.9993,218801.41,0.999401,31217.88,0.999388,0.22053719,24986,454_160_130
4690019,39,431,100,10188541.78,-1,1.000684,18641760.81,,,1.000575,9179.6,1.001142,5510.88,1.00093,-9.729862,23715,431_100_39
3443357,122,317,460,1586395.16,1,0.997064,22184369.07,1.000333,0.99888,0.996701,322090.72,0.997427,419300.47,0.997017,-8.519888,17481,317_460_122
1861949,31,173,190,28484.8,-1,0.997043,823984.12,,,0.997043,70803.79,0.998229,22919.24,0.997939,10.620356,9534,173_190_31
4191985,5,385,500,0.0,0,1.003901,7174933.9,1.003901,1.003901,1.003771,25398.8,1.003901,30884.0,1.003829,-0.6198883,21225,385_500_5
